candidate_id,source_type,start_date,end_date,auto_hint,ctx_mcp_usd_before,ctx_mcp_usd_during,ctx_mcp_usd_after,ctx_pct_change,ctx_cf_residual_usd,ctx_cf_at_cap_share,ctx_n_hours,top_news
1,A_tariff,2021-05-01,,BOTAŞ elektrik gaz tarifesi +12% → 1632 TL/1000m³,38.2,40.0,43.4,4.5,0.7,0.0,25,"[42577] 2021-05-01 Doğal gaz konutlarda yüzde 1, elektrik üretiminde yüzde 12 z | [42670] 2021-05-07 BOTAŞ Nisan’da MB'dan döviz almadı | [42357] 2021-04-16 Almanya’nın gaz ithalat fiyatı yüzde 18 arttı"
2,A_tariff,2021-06-01,,BOTAŞ elektrik gaz tarifesi +5% → 1713 TL/1000m³,43.4,44.9,47.5,3.5,-1.3,0.0,25,"[43026] 2021-06-01 Doğal gaz konutlarda yüzde 1, elektrik santrallerinde yüzde  | [43126] 2021-06-07 BOTAŞ Mayıs’ta MB'dan döviz almadı | [42896] 2021-05-24 Almanya'nın doğal gaz ithalat fiyatı ilk çeyrekte yüzde 12,5"
3,A_tariff,2021-07-01,,BOTAŞ elektrik gaz tarifesi +20% → 2056 TL/1000m³,46.8,65.9,60.1,40.9,13.6,0.76,25,[43481] 2021-07-01 Doğalgaz fiyatlarına yüzde 12-25 zam | [43591] 2021-07-07 Merkez Bankası Botaş’a döviz satışını yeniden başlattı | [43294] 2021-06-18 Almanya'nın doğal gaz ithalat fiyatı yüzde 58 arttı
4,B_pricemove,2021-07-01,2021-07-31,"MCP yükseliş, aylık +29%",46.8,60.3,65.7,28.9,4.8,0.43,745,[43475] 2021-06-30 Elektrik fiyatları tavan yaptı! | [44082] 2021-08-10 Spot elektrik piyasasında 6 Ağustos rekor günü oldu: Tüm gün | [43863] 2021-07-27 Spot elektrikte tavan fiyat 636 TL'ye yükseldi
5,A_tariff,2021-08-01,,BOTAŞ elektrik gaz tarifesi +0% → 2060 TL/1000m³,60.1,66.1,65.8,10.0,7.8,0.44,25,"[44030] 2021-08-06 BOTAŞ Temmuz’da MB'dan döviz almadı | [43943] 2021-07-31 Sıkıştırılmış doğalgaza zam, konut gazında artış yok | [43905] 2021-07-29 Botaş Hazar gazının tamamını rezerve etti"
6,A_tariff,2021-09-01,,BOTAŞ elektrik gaz tarifesi +15% → 2369 TL/1000m³,65.8,71.7,61.0,9.0,1.9,0.56,25,[44205] 2021-08-20 Gelecek üç yılın spot gaz ihalesi aynı gün | [44348] 2021-09-02 Sanayide ve santrallerde doğalgaz fiyatlarına %15 zam | [44194] 2021-08-20 Spot boru gazı ithalatında yeni dönem
7,A_tariff,2021-10-01,,BOTAŞ elektrik gaz tarifesi +15% → 2724 TL/1000m³,61.3,60.9,73.5,-0.7,-6.6,0.0,25,[44725] 2021-10-01 Doğalgaz fiyatı bu ay da zam gördü: Yüzde 15 | [44686] 2021-09-29 Elektrik ve doğalgazda 2 haneli artış beklentisi | [44520] 2021-09-17 Avrupa’da doğal gaz fiyatları rekor seviyelere çıktı
8,A_cap,2021-10-15,,AFL tavanı +50% → 1078 TL,64.0,68.5,81.7,7.0,5.3,0.0,25,[44932] 2021-10-15 Elektrik tavan fiyatı yüzde 48 arttı: 1078 TL/MWh | [44931] 2021-10-15 Spot elektrik tavan fiyatı yükseldi | [44992] 2021-10-19 EMO: Spot elektrik tavan fiyatı otomatik artacak
9,A_tariff,2021-11-01,,BOTAŞ elektrik gaz tarifesi +47% → 3999 TL/1000m³,73.5,81.8,80.2,11.3,1.1,0.2,25,[45165] 2021-11-01 Doğal gazdan elektrik üretimi yarı yarıya pahalandı | [45250] 2021-11-05 BOTAŞ Ekim’de MB'dan 258 milyon dolar döviz aldı | [45047] 2021-10-23 Kasım’da Türkgözü’nden gaz ithalatını Botaş yapacak
10,A_tariff,2021-12-01,,BOTAŞ elektrik gaz tarifesi +20% → 4800 TL/1000m³,80.3,80.1,74.7,-0.2,3.9,0.48,25,[45690] 2021-12-03 Doğalgaza konutlar hariç yüzde 20 zam! | [45581] 2021-11-25 Aralık’ta spot boru gazı için BOTAŞ ve Oil Refinery yarışaca | [45468] 2021-11-18 Almanya’nın gaz ithalat fiyatı yüzde 127 arttı
11,C_external,2021-12-15,,Kur şoku / KKM açıklaması,72.5,68.5,81.1,-5.4,0.6,0.04,25,"[45562] 2021-11-24 Benzin, motorin ve LPG otogaza beklenen zam geldi! | [45653] 2021-11-30 Negatif reel faizler güneş yatırımlarını nasıl etkiler? | [46007] 2021-12-22 2022 Petrol Piyasası katılma payı oranı ‰1"
12,A_cap,2022-01-01,,AFL tavanı +11% → 1345 TL,74.7,81.9,87.5,9.7,5.7,0.24,25,"[46181] 2022-01-01 Elektrik fiyatına 3 haneli zam | [46117] 2021-12-28 Spot elektrik tavan fiyatı Ocak’ta yüzde 135 arttı | [45964] 2021-12-21 EPİAŞ'ın 2022 gelir tavanı 259,8 milyon lira"
13,A_tariff,2022-01-01,,BOTAŞ elektrik gaz tarifesi +15% → 5520 TL/1000m³,74.7,81.9,87.5,9.7,5.7,0.24,25,[45954] 2021-12-20 Ocak spot boru gazı için BOTAŞ ve Bosphorus Gaz yarışacak | [46120] 2021-12-28 Spot boru gazı için BOTAŞ ve Bosphorus Gaz yarışacak | [46182] 2021-12-31 İşte yeni yılda zamlı doğalgaz fiyatları!
