gun,gercek_usd,canli_MAE,canli_BIAS,wf_dbpf_MAE,wf_dbpf_BIAS,wf_fixedpf_MAE,wf_fixedpf_BIAS
2026-08-10,57.8,12.8,3.7,12.5,3.9,12.5,3.9
2026-08-11,66.3,7.5,-4.5,7.5,-4.8,7.5,-4.8
2026-08-12,63.9,5.0,2.9,5.2,2.8,5.0,2.5
2026-08-13,57.3,8.2,5.2,7.4,4.9,7.6,5.3
2026-08-14,57.4,8.5,-1.8,9.0,-2.6,9.1,-2.3
2026-08-15,50.4,10.1,10.1,3.5,-1.1,4.4,-1.5
2026-08-16,52.4,8.3,-6.1,10.7,-9.4,10.8,-9.6
2026-08-17,71.5,7.1,1.2,6.9,-1.1,7.3,-1.9
2026-08-18,70.6,6.2,4.1,5.4,2.3,5.4,2.2
2026-08-19,65.0,6.7,6.5,6.2,5.7,5.8,5.1
2026-08-20,64.5,4.9,-0.3,5.4,-0.5,5.6,0.5
2026-08-21,66.6,3.9,-1.0,4.1,-1.5,4.4,-1.6
2026-08-22,71.7,10.0,-9.4,9.8,-9.1,10.1,-9.5
2026-08-23,50.2,9.8,8.9,9.6,8.4,9.4,8.2
2026-08-24,57.1,13.0,5.0,13.1,4.7,12.0,8.7
2026-08-25,63.5,7.3,5.8,6.8,5.4,5.4,-0.0
2026-08-26,75.7,8.8,-8.4,8.4,-7.0,8.2,-7.2
2026-08-27,72.2,5.3,2.4,5.1,3.4,5.2,-0.6
2026-08-28,60.9,14.4,14.1,13.8,13.4,9.5,8.4
2026-08-29,53.8,12.3,9.9,15.2,14.6,13.2,3.2
2026-08-30,39.6,14.7,11.7,14.9,11.6,13.9,8.7
