month,m1_mae,m1_cov,m2_mae,m2_cov,m3_mae,m3_cov
2025-08,4.77,84.43,4.76,82.68,4.8,82.89
2025-09,6.1,80.97,6.02,81.53,5.98,78.89
2025-10,6.55,82.66,6.5,81.05,6.63,82.93
2025-11,5.89,85.28,5.83,84.31,6.03,83.19
2025-12,5.32,81.18,5.2,80.38,5.35,82.66
2026-01,6.19,84.95,6.11,81.59,6.16,84.54
2026-02,13.64,64.43,12.54,66.96,13.19,67.86
2026-03,12.26,69.22,11.26,72.18,12.04,70.97
2026-04,11.52,60.14,11.34,56.53,10.35,62.5
2026-05,7.74,72.32,8.86,67.26,6.46,76.34
2026-06,10.25,69.03,9.29,77.08,10.28,75.14
2026-07,9.4,80.24,9.41,78.49,8.85,80.24
2026-08,7.96,84.38,8.13,81.94,8.04,84.03
